day_pt,days_in_guild,muters,interval_start_timestamp
2024-11-15T00:00:00+00:00,Existing Members,0,2024-11-15T00:00:00+00:00
2024-11-15T00:00:00+00:00,New Members,1,2024-11-15T00:00:00+00:00
2024-11-16T00:00:00+00:00,Existing Members,1,2024-11-16T00:00:00+00:00
2024-11-16T00:00:00+00:00,New Members,1,2024-11-16T00:00:00+00:00
2024-11-17T00:00:00+00:00,Existing Members,1,2024-11-17T00:00:00+00:00
2024-11-17T00:00:00+00:00,New Members,0,2024-11-17T00:00:00+00:00
2024-11-18T00:00:00+00:00,Existing Members,2,2024-11-18T00:00:00+00:00
2024-11-18T00:00:00+00:00,New Members,0,2024-11-18T00:00:00+00:00
2024-11-19T00:00:00+00:00,Existing Members,1,2024-11-19T00:00:00+00:00
2024-11-19T00:00:00+00:00,New Members,1,2024-11-19T00:00:00+00:00
2024-11-20T00:00:00+00:00,Existing Members,1,2024-11-20T00:00:00+00:00
2024-11-20T00:00:00+00:00,New Members,0,2024-11-20T00:00:00+00:00
2024-11-21T00:00:00+00:00,Existing Members,0,2024-11-21T00:00:00+00:00
2024-11-21T00:00:00+00:00,New Members,0,2024-11-21T00:00:00+00:00
2024-11-22T00:00:00+00:00,Existing Members,0,2024-11-22T00:00:00+00:00
2024-11-22T00:00:00+00:00,New Members,1,2024-11-22T00:00:00+00:00
2024-11-23T00:00:00+00:00,Existing Members,0,2024-11-23T00:00:00+00:00
2024-11-23T00:00:00+00:00,New Members,0,2024-11-23T00:00:00+00:00
2024-11-24T00:00:00+00:00,Existing Members,0,2024-11-24T00:00:00+00:00
2024-11-24T00:00:00+00:00,New Members,1,2024-11-24T00:00:00+00:00
2024-11-25T00:00:00+00:00,Existing Members,4,2024-11-25T00:00:00+00:00
2024-11-25T00:00:00+00:00,New Members,0,2024-11-25T00:00:00+00:00
2024-11-26T00:00:00+00:00,Existing Members,0,2024-11-26T00:00:00+00:00
2024-11-26T00:00:00+00:00,New Members,0,2024-11-26T00:00:00+00:00
2024-11-27T00:00:00+00:00,Existing Members,3,2024-11-27T00:00:00+00:00
2024-11-27T00:00:00+00:00,New Members,1,2024-11-27T00:00:00+00:00
2024-11-28T00:00:00+00:00,Existing Members,0,2024-11-28T00:00:00+00:00
2024-11-28T00:00:00+00:00,New Members,0,2024-11-28T00:00:00+00:00
2024-11-29T00:00:00+00:00,Existing Members,0,2024-11-29T00:00:00+00:00
2024-11-29T00:00:00+00:00,New Members,0,2024-11-29T00:00:00+00:00
